source,target,label,line
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.chat_completion,defines,51
\src\judini\codegpt::CodeGPTPlus.chat_completion,\src\judini\codegpt::CodeGPTPlus.__init__,calls,12
\src\judini\codegpt::CodeGPTPlus.chat_completion,\src\judini\codegpt::JUDINI_TUTORIAL,calls,27
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.__init__,defines,15
\src\judini\codegpt::CodeGPTPlus.__init__,\src\judini\codegpt::base_url,calls,29
\src\judini\codegpt,\src\judini\codegpt::CodeGPTPlus,defines,14
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::base_url,calls,30
\src\judini\codegpt,\src\judini\codegpt::PLAYGROUND_KEYS_URL,defines,12
\src\judini\codegpt,\src\judini\codegpt::JUDINI_TUTORIAL,defines,11
\src\judini\codegpt::JUDINI_TUTORIAL,\src\judini\codegpt::base_url,calls,1
\src\judini\codegpt,\src\judini\codegpt::base_url,defines,10
\src\judini\codegpt,\src\judini\codegpt::base_url,calls,11
\src\judini\types::Document,\src\judini\types::Document.json_loads,defines,57
\src\judini\types,\src\judini\types::Document,defines,38
\src\judini\types,\src\judini\types::DocumentMetadata,defines,25
\src\judini\types,\src\judini\types::Agent,defines,5
\src\judini\utils,\src\judini\utils::handle_non_stream,defines,15
\src\judini\utils,\src\judini\utils::handle_stream,defines,5
\streamlit,\streamlit::completion,defines,30
\streamlit::completion,\streamlit::CODEGPT_API_KEY,calls,1
\streamlit,\streamlit::enable_stream,defines,25
\streamlit,\streamlit::AGENT_ID,defines,21
\streamlit,\streamlit::CODEGPT_API_KEY,defines,17
